   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:813(get_data)
       26    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
       31    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:889(__init__)
        3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:900(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 __init__.py:182(dumps)
        1    0.000    0.000    0.000    0.000 __init__.py:271(loads)
        2    0.000    0.000    0.005    0.003 __init__.py:356(namedtuple)
       11    0.000    0.000    0.001    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
       11    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
        1    0.000    0.000    0.009    0.009 __init__.py:69(search_function)
        1    0.000    0.000    0.013    0.013 __init__.py:97(<module>)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        5    0.000    0.000    0.001    0.000 abc.py:132(__new__)
        5    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        4    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 asynch_result.py:12(__init__)
        1    0.000    0.000    3.206    3.206 asynch_result.py:19(get)
        1    0.000    0.000    0.000    0.000 asynch_result.py:3(<module>)
        1    0.000    0.000    0.000    0.000 asynch_result.py:9(Asynch_result)
        1    0.000    0.000    0.000    0.000 client.py:14(Client)
        1    0.000    0.000    0.020    0.020 client.py:16(__init__)
        1    0.000    0.000    0.011    0.011 client.py:22(_request)
        1    0.000    0.000    0.011    0.011 client.py:27(request)
        1    0.000    0.000    0.120    0.120 client.py:3(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:93(__new__)
        1    0.000    0.000    0.000    0.000 commander.py:16(Commander)
        2    0.000    0.000    0.000    0.000 commander.py:19(__init__)
        1    0.000    0.000    0.015    0.015 commander.py:3(<module>)
        1    0.000    0.000    0.000    0.000 commander.py:31(set_code_book)
        1    0.000    0.000    0.000    0.000 commander.py:36(set_default_code_book)
        1    0.000    0.000    0.000    0.000 commander.py:42(encode_message)
        2    0.000    0.000    0.000    0.000 commander.py:50(format_message)
        2    0.000    0.000    0.000    0.000 commander.py:87(get_OrderedDict)
        1    0.000    0.000    0.000    0.000 commander.py:92(decode_message)
        1    0.000    0.000    0.000    0.000 config.py:3(<module>)
        1    0.000    0.000    0.000    0.000 data_transceiver.py:16(pack)
        1    0.000    0.000    0.000    0.000 data_transceiver.py:23(unpack)
        1    0.000    0.000    0.000    0.000 data_transceiver.py:4(<module>)
        1    0.000    0.000    0.000    0.000 data_transceiver.py:8(Data_transceiver)
        1    0.000    0.000    0.000    0.000 datetime.py:1005(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1030(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1311(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1319(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1815(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:1838(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:247(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:264(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:277(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:292(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 datetime.py:319(timedelta)
        9    0.000    0.000    0.001    0.000 datetime.py:338(__new__)
        3    0.000    0.000    0.000    0.000 datetime.py:40(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:45(_days_in_month)
        1    0.000    0.000    0.003    0.003 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:513(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:641(date)
        2    0.000    0.000    0.000    0.000 datetime.py:671(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:935(tzinfo)
        1    0.000    0.000    0.006    0.006 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:253(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:283(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:334(decode)
        1    0.000    0.000    0.000    0.000 decoder.py:345(raw_decode)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:181(encode)
        1    0.000    0.000    0.003    0.003 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:203(iterencode)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        1    0.000    0.000    0.001    0.001 enum.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
        9    0.000    0.000    0.000    0.000 enum.py:140(<genexpr>)
       33    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
        4    0.000    0.000    0.002    0.000 enum.py:215(__call__)
       30    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
        3    0.000    0.000    0.000    0.000 enum.py:260(__getattr__)
        2    0.000    0.000    0.000    0.000 enum.py:285(__members__)
       38    0.000    0.000    0.000    0.000 enum.py:301(__setattr__)
        2    0.000    0.000    0.002    0.001 enum.py:314(_create_)
        4    0.000    0.000    0.000    0.000 enum.py:361(_get_mixins_)
        1    0.000    0.000    0.000    0.000 enum.py:40(_EnumDict)
        4    0.000    0.000    0.000    0.000 enum.py:406(_find_new_)
        1    0.000    0.000    0.000    0.000 enum.py:453(Enum)
        2    0.000    0.000    0.000    0.000 enum.py:459(__new__)
        4    0.000    0.000    0.000    0.000 enum.py:47(__init__)
       30    0.000    0.000    0.001    0.000 enum.py:51(__setitem__)
        2    0.000    0.000    0.005    0.003 enum.py:532(_convert)
        2    0.001    0.000    0.003    0.002 enum.py:547(<dictcomp>)
        1    0.000    0.000    0.000    0.000 enum.py:556(IntEnum)
       15    0.000    0.000    0.000    0.000 enum.py:8(_is_descriptor)
        1    0.000    0.000    0.000    0.000 enum.py:82(EnumMeta)
        4    0.000    0.000    0.000    0.000 enum.py:84(__prepare__)
        4    0.001    0.000    0.002    0.000 enum.py:88(__new__)
        4    0.000    0.000    0.000    0.000 enum.py:99(<dictcomp>)
        1    0.000    0.000    0.000    0.000 idna.py:146(Codec)
        1    0.000    0.000    0.000    0.000 idna.py:147(encode)
        1    0.000    0.000    0.000    0.000 idna.py:218(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 idna.py:253(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 idna.py:292(StreamWriter)
        1    0.000    0.000    0.000    0.000 idna.py:295(StreamReader)
        1    0.000    0.000    0.007    0.007 idna.py:3(<module>)
        1    0.000    0.000    0.000    0.000 idna.py:300(getregentry)
        1    0.000    0.000    0.017    0.017 linecache.py:6(<module>)
        1    0.000    0.000    0.000    0.000 node.py:23(Node)
        1    0.000    0.000    0.020    0.020 node.py:25(__init__)
        1    0.000    0.000    0.087    0.087 node.py:3(<module>)
        1    0.000    0.000    0.010    0.010 node.py:40(request)
       21    0.000    0.000    0.000    0.000 ntpath.py:120(splitdrive)
        7    0.001    0.000    0.001    0.000 ntpath.py:465(normpath)
        7    0.000    0.000    0.001    0.000 ntpath.py:530(abspath)
        7    0.000    0.000    0.000    0.000 ntpath.py:74(join)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        1    0.000    0.000    0.000    0.000 queue_manager.py:11(__init__)
        1    0.000    0.000    0.000    0.000 queue_manager.py:19(whether_requests_time_out)
        1    0.000    0.000    0.000    0.000 queue_manager.py:27(append_request_message)
        1    0.000    0.000    0.000    0.000 queue_manager.py:3(<module>)
        1    0.000    0.000    0.000    0.000 queue_manager.py:36(append_received_message)
        2    0.000    0.000    0.000    0.000 queue_manager.py:47(pop_request_message)
        2    0.000    0.000    0.000    0.000 queue_manager.py:52(pop_received_message)
        1    0.000    0.000    0.000    0.000 queue_manager.py:8(Queue_manager)
        9    0.000    0.000    0.013    0.001 re.py:222(compile)
        9    0.000    0.000    0.013    0.001 re.py:278(_compile)
        1    0.000    0.000    0.003    0.003 scanner.py:2(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:205(_BaseSelectorImpl)
        1    0.000    0.000    0.000    0.000 selectors.py:290(SelectSelector)
        1    0.000    0.000    0.005    0.005 selectors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:59(_SelectorMapping)
        1    0.000    0.000    0.000    0.000 selectors.py:79(BaseSelector)
        1    0.000    0.000    0.000    0.000 socket.py:120(_GiveupOnSendfile)
        1    0.000    0.000    0.000    0.000 socket.py:123(socket)
        1    0.000    0.000    0.022    0.022 socket.py:47(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:532(SocketIO)
        1    0.000    0.000    0.020    0.020 socket.py:715(getaddrinfo)
      165    0.001    0.000    0.001    0.000 socket.py:76(<lambda>)
      166    0.002    0.000    0.002    0.000 socket.py:81(<lambda>)
        2    0.000    0.000    0.000    0.000 socket.py:87(_intenum_converter)
        4    0.000    0.000    3.206    0.801 socket_client.py:120(receive_one_cycle)
        1    0.000    0.000    0.000    0.000 socket_client.py:134(on_receive)
        1    0.000    0.000    0.000    0.000 socket_client.py:14(Socket_client)
        1    0.000    0.000    0.020    0.020 socket_client.py:17(__init__)
        1    0.000    0.000    0.029    0.029 socket_client.py:3(<module>)
        1    0.000    0.000    0.000    0.000 socket_client.py:35(set_parent)
       22    0.000    0.000    0.003    0.000 sre_compile.py:221(_compile_charset)
       22    0.002    0.000    0.003    0.000 sre_compile.py:248(_optimize_charset)
        9    0.001    0.000    0.001    0.000 sre_compile.py:374(_mk_bitmap)
        9    0.000    0.000    0.000    0.000 sre_compile.py:376(<listcomp>)
        2    0.000    0.000    0.000    0.000 sre_compile.py:379(_bytes_to_codes)
       14    0.000    0.000    0.000    0.000 sre_compile.py:386(_simple)
        9    0.000    0.000    0.001    0.000 sre_compile.py:412(_compile_info)
       18    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
        9    0.000    0.000    0.006    0.001 sre_compile.py:516(_code)
        9    0.000    0.000    0.013    0.001 sre_compile.py:531(compile)
     38/9    0.001    0.000    0.004    0.000 sre_compile.py:64(_compile)
       38    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
       59    0.000    0.000    0.000    0.000 sre_parse.py:153(__len__)
      132    0.000    0.000    0.001    0.000 sre_parse.py:157(__getitem__)
       14    0.000    0.000    0.000    0.000 sre_parse.py:161(__setitem__)
       46    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
    59/30    0.000    0.000    0.001    0.000 sre_parse.py:167(getwidth)
        9    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
      163    0.000    0.000    0.000    0.000 sre_parse.py:226(__next)
      113    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
      124    0.000    0.000    0.001    0.000 sre_parse.py:247(get)
        4    0.000    0.000    0.000    0.000 sre_parse.py:251(getwhile)
       57    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
       24    0.000    0.000    0.000    0.000 sre_parse.py:312(_class_escape)
        4    0.000    0.000    0.000    0.000 sre_parse.py:362(_escape)
     18/9    0.002    0.000    0.006    0.001 sre_parse.py:429(_parse_sub)
     21/9    0.001    0.000    0.006    0.001 sre_parse.py:491(_parse)
        9    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
       32    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
        7    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
        9    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
        9    0.000    0.000    0.006    0.001 sre_parse.py:819(parse)
        7    0.000    0.000    0.000    0.000 sre_parse.py:90(closegroup)
        1    0.000    0.000    0.003    0.003 stringprep.py:6(<module>)
        1    0.000    0.000    0.023    0.023 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1156(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1186(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:1188(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1205(_DummyThread)
        1    0.000    0.000    0.000    0.000 threading.py:201(Condition)
        2    0.000    0.000    0.000    0.000 threading.py:213(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:237(__enter__)
        2    0.000    0.000    0.000    0.000 threading.py:240(__exit__)
