         15407 function calls (15146 primitive calls) in 0.126 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:783(__init__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:808(get_filename)
       22    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:813(get_data)
       22    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
       26    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:889(__init__)
        2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap_external>:900(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        2    0.000    0.000    0.003    0.001 __init__.py:356(namedtuple)
       11    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
       11    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
        1    0.000    0.000    0.012    0.012 __init__.py:97(<module>)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        5    0.000    0.000    0.001    0.000 abc.py:132(__new__)
        5    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        4    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 client.py:15(Client)
        1    0.000    0.000    0.000    0.000 client.py:17(__init__)
        2    0.000    0.000    0.000    0.000 client.py:27(_request)
        1    0.000    0.000    0.109    0.109 client.py:3(<module>)
        2    0.000    0.000    0.000    0.000 client.py:32(request)
        1    0.000    0.000    0.000    0.000 commander.py:12(Commander)
        1    0.000    0.000    0.015    0.015 commander.py:3(<module>)
        2    0.000    0.000    0.000    0.000 commander.py:43(format_message)
        1    0.000    0.000    0.000    0.000 config.py:3(<module>)
        1    0.000    0.000    0.000    0.000 config.py:34(Mock)
        1    0.000    0.000    0.000    0.000 data_transceiver.py:3(<module>)
